date,market,index_close,drawdown_pct,oscillator,up_pct_amt,up_pct_vol,points_up_pct,up_vol,down_vol,up_amt,down_amt,advancers,decliners,signal
2026-07-30,KOSPI,5593.56,-38.63,-82.63,17.37,51.34,45.36,191035909,181035199,6579529112981,31303515651785,609,277,과매도 (-80% 이하)
2026-07-31,KOSDAQ,719.76,-41.3,95.31,95.31,93.9,98.77,404131173,26273680,5102389080132,251320736738,1557,141,PANIC BUYING (90% Up Day)
2026-07-31,KOSPI,6595.45,-27.64,96.16,96.16,89.52,93.95,385619808,45161456,47641927376460,1902428553568,775,127,PANIC BUYING (90% Up Day)
2026-08-03,KOSDAQ,737.35,-39.87,80.01,80.01,83.72,82.78,350360116,68137242,4231069184718,1057421591382,1170,468,과매수 (+80% 이상)
2026-08-03,KOSPI,6257.45,-31.35,-79.98,20.02,43.43,37.34,116191242,151336545,5234595629165,20916517864822,455,419,중립
2026-08-04,KOSDAQ,780.72,-36.33,94.19,94.19,89.53,96.84,423940540,49569719,5498674094648,339473905036,1505,174,PANIC BUYING (90% Up Day)
2026-08-04,KOSPI,6358.95,-30.23,93.53,93.53,92.08,96.62,283737947,24403757,26209265754359,1813250825261,788,96,PANIC BUYING (90% Up Day)
2026-08-05,KOSDAQ,799.59,-34.79,82.98,82.98,87.67,89.34,505398286,71081991,5261390938530,1079310283654,1346,301,과매수 (+80% 이상)
2026-08-05,KOSPI,6598.26,-27.61,94.39,94.39,89.63,94.38,299064813,34613545,24090610453003,1431625962053,675,197,PANIC BUYING (90% Up Day)
2026-08-06,KOSDAQ,801.67,-34.62,60.06,60.06,61.93,55.67,339253341,208572211,3635632876990,2417849591570,736,893,중립
2026-08-06,KOSPI,6296.38,-30.92,-81.73,18.27,49.09,37.05,137504075,142599850,4809307498254,21520835986169,490,380,과매도 (-80% 이하)
2026-08-07,KOSDAQ,798.81,-34.85,-50.29,49.71,58.33,35.55,292554908,208954715,2586068116038,2616111106526,808,829,중립
2026-08-07,KOSPI,6258.77,-31.33,50.16,50.16,63.65,64.78,188280889,107516886,12351622605316,12273201662367,554,322,중립
2026-08-10,KOSDAQ,854.47,-30.31,96.85,96.85,90.26,98.01,492220519,53087544,6862390846684,223086873601,1431,236,PANIC BUYING (90% Up Day)
2026-08-10,KOSPI,6299.66,-30.88,-58.86,41.14,75.34,85.77,218835189,71633443,7791113634267,11147405063346,697,183,중립
2026-08-11,KOSDAQ,857.84,-30.04,64.18,64.18,67.76,66.15,354660926,168740214,4319744515221,2410773996175,1097,547,중립
2026-08-11,KOSPI,6345.53,-30.38,71.36,71.36,71.13,34.73,230176013,93444026,15581965274175,6253720017379,563,309,중립
2026-08-12,KOSDAQ,858.91,-29.95,60.65,60.65,62.95,55.59,347398685,204490654,3951760754943,2563768024126,886,753,중립
2026-08-12,KOSPI,6579.04,-27.82,88.26,88.26,70.75,64.41,250012159,103355999,23809274114000,3167154053740,380,477,과매수 (+80% 이상)
2026-08-13,KOSDAQ,861.37,-29.75,66.93,66.93,54.21,53.89,366328183,309382356,4836804621744,2389703742604,634,1009,중립
2026-08-13,KOSPI,6813.34,-25.25,88.41,88.41,54.19,80.47,224772361,189997112,30406411876725,3987950392827,333,533,과매수 (+80% 이상)
2026-08-14,KOSDAQ,864.65,-29.48,55.53,55.53,56.17,60.16,389460769,303884010,4145249438811,3319297075262,904,741,중립
2026-08-14,KOSPI,6977.94,-23.44,90.0,90.0,64.61,81.34,206141805,112909136,24356300757360,2705863946725,677,204,PANIC BUYING (90% Up Day)
2026-08-18,KOSDAQ,834.2,-31.97,-55.06,44.94,42.77,15.09,291565123,390167034,3603920101140,4415230618037,372,1288,중립
2026-08-18,KOSPI,6869.83,-24.63,-59.34,40.66,47.64,19.9,189543122,208298758,11967964998869,17468956237165,195,682,중립
2026-08-19,KOSDAQ,824.49,-32.76,-55.82,44.18,51.72,22.71,305575530,285245664,2686230761923,3393875811031,396,1275,중립
2026-08-19,KOSPI,6467.77,-29.04,-89.63,10.37,35.51,9.29,106878145,194059944,2380829739469,20577811139552,171,703,과매도 (-80% 이하)
2026-08-20,KOSDAQ,840.89,-31.42,75.61,75.61,68.99,75.65,368884367,165811758,4220740592624,1361718523248,1064,576,중립
2026-08-20,KOSPI,6852.58,-24.82,86.16,86.16,66.24,75.87,197662837,100748511,24094967267067,3871670283991,521,338,과매수 (+80% 이상)
2026-08-21,KOSDAQ,801.94,-34.6,-78.11,21.89,45.4,5.29,254200333,305759165,1186779724694,4234194741718,282,1378,중립
2026-08-21,KOSPI,6912.95,-24.15,72.29,72.29,54.65,19.68,220962685,183340380,20348377764285,7798767148630,193,683,중립
2026-08-24,KOSDAQ,813.33,-33.67,57.64,57.64,51.1,69.54,252822642,241927794,2549266436391,1873102138201,921,706,중립
2026-08-24,KOSPI,6696.96,-26.52,-73.95,26.05,54.71,71.15,142564609,118009645,6745016834582,19148011238802,579,286,중립
2026-08-25,KOSDAQ,827.15,-32.54,76.68,76.68,73.03,80.6,347753450,128447428,3579523538122,1088324875608,1186,466,중립
2026-08-25,KOSPI,6742.74,-26.02,83.72,83.72,76.3,75.6,197179596,61242101,15534271035120,3020892829812,646,226,과매수 (+80% 이상)
